trades,win_rate_pct,payoff,profit_factor,expectancy_cash,total_return_pct,average_exposure_pct,gap_affected_positions,candidate_signals,rejected_signals,costs,accounting_error,max_drawdown_pct,cagr_pct,config,cost_multiplier,worst_month_pct,worst_year_pct,longest_losing_streak,daily_time_underwater_max_days,turnover_over_mean_equity,daily_max_drawdown_pct,mean_net_r,bootstrap_draws,bootstrap_pf_undefined_draws,bootstrap_block_months,buy_hold_return_pct,exposure_scaled_buy_hold_return_pct
112,40.17857142857143,1.753897191357162,1.1779906509115265,4.691464036782524,5.2544397211964355,1.7330790089902302,1,135,23,0.0,4.547473508864641e-13,-6.5118357917619,0.7711149196151235,H-4h-rsi-fixed2,0,-2.315082482777109,-2.1243283145814584,8,1025,43.75386012586542,-6.343519431999178,0.10770156613879049,2000.0,0.0,3.0,992.1288240559036,17.19437639185448
112,39.285714285714285,1.5635535649538763,1.011711130264273,0.31531475730231456,0.35315252817855747,1.6467380858487155,1,135,23,506.7778161880224,-3.069544618483633e-12,-7.5330776777011055,0.0528935450389012,H-4h-rsi-fixed2,1,-2.3435876753432727,-3.051470669463441,8,1965,41.56718757141689,-7.404455072763472,0.008246844251198177,2000.0,0.0,3.0,989.5108569622753,16.294652145205795
112,39.285714285714285,1.3529208054079194,0.8754193446757125,-3.3910421425078345,-3.797967199608776,1.5640587013211527,1,135,23,938.8624934669796,0.0,-9.332017891072597,-0.5791121070550243,H-4h-rsi-fixed2,2,-2.351770037045775,-3.7772911641954288,8,1965,39.23916074938328,-9.144267873701505,-0.07204829542689659,2000.0,0.0,3.0,986.899161075319,15.435682202063985
116,39.6551724137931,1.4235308162616571,1.212637362000671,4.178473521567135,4.847029285017879,1.3062330270015359,1,135,19,0.0,1.2505552149377763e-12,-3.4102718721373604,0.7125099281019454,H-4h-rsi-adaptive,0,-1.3706318538003415,-0.4123797754158387,5,997,45.18773622302878,-3.094805311431792,0.08216696774443687,2000.0,0.0,3.0,992.1288240559036,12.959514370220171
117,38.46153846153846,1.221688583075153,0.981714039971105,-0.3746202749519716,-0.43830572169391013,1.187864583027737,1,135,18,524.0034169723052,-9.833911462919787e-12,-5.086803767133796,-0.06586866165720906,H-4h-rsi-adaptive,1,-1.5898681698066297,-1.2810431634189934,5,1997,43.30713526083438,-4.933425322827267,-0.015901083384585166,2000.0,0.0,3.0,989.5108569622753,11.75404901506912
118,33.05084745762712,1.1230155578713608,0.7299601126163845,-5.655666482757744,-6.673686449654015,1.0932126492605039,1,135,17,965.7703973542352,1.2278178473934531e-11,-9.182833522188638,-1.0306730790156649,H-4h-rsi-adaptive,2,-1.648812175638148,-3.0922154488619458,5,1997,41.14527744212428,-8.8999193398813,-0.12520206314092633,2000.0,0.0,3.0,986.899161075319,10.788906464321181
67,52.23880597014925,1.3820386017719373,1.5116047206880563,10.584141498427481,7.0913748039464375,0.8397411644396966,1,71,4,0.0,2.5011104298755527e-12,-2.6873714710445085,1.0329826188831825,H-4h-div-fixed1.5,0,-1.1881381184940865,-1.1849541466687041,4,558,26.11393807702487,-2.410788914014639,0.20863587971020744,2000.0,0.0,3.0,992.1288240559036,8.331314139868914
67,50.74626865671642,1.2276498367568256,1.2648513469615779,5.704149171137176,3.8217799446619516,0.804822660136428,1,71,4,306.38335773548556,4.945377440890297e-12,-3.3266379879503427,0.5641693064992959,H-4h-div-fixed1.5,1,-1.2955964504212103,-1.5665989435124206,4,1965,24.881686714078675,-3.192157278549168,0.10739180736422627,2000.0,0.0,3.0,989.5108569622753,7.963807601342549
65,52.30769230769231,1.0279561565066926,1.1274357845557272,2.77752913492943,1.805393937704003,0.7642910744411121,1,71,6,552.1474801597642,-1.3642420526593924e-11,-3.6082291756516893,0.26875403329837955,H-4h-div-fixed1.5,2,-1.3428898310511306,-1.8521452852393927,4,1965,22.624596146891786,-3.4814838974401296,0.05653468383105015,2000.0,0.0,3.0,986.899161075319,7.5427822018328765
66,48.484848484848484,1.6253832327587587,1.5297724543611848,12.087692707765171,7.977877187124949,1.0210063682862094,1,71,5,0.0,-7.275957614183426e-12,-2.4047059132635384,1.1579961495343127,H-4h-div-fixed2,0,-1.2494412553091694,-0.6939962634503138,4,548,25.964762417909025,-2.1685309019371046,0.2572999028604843,2000.0,0.0,3.0,992.1288240559036,10.129698475213857
