model,forecast,lower,upper,quarter,history_end,actual,split
ARIMA,3.902556271,-3.003226921,10.80833946,1997Q3,1997Q2,4.989209015,validation
VAR,2.282289682,-4.313128762,8.877708127,1997Q3,1997Q2,4.989209015,validation
VECM,2.282289682,-4.247718037,8.812297402,1997Q3,1997Q2,4.989209015,validation
Historical mean,3.362821161,,,1997Q3,1997Q2,4.989209015,validation
Random walk,0,,,1997Q3,1997Q2,4.989209015,validation
ARIMA,4.095487137,-2.789943486,10.98091776,1997Q4,1997Q3,3.057029617,validation
VAR,5.014878114,-1.572449837,11.60220607,1997Q4,1997Q3,3.057029617,validation
VECM,5.014878114,-1.507548472,11.5373047,1997Q4,1997Q3,3.057029617,validation
Historical mean,3.373382121,,,1997Q4,1997Q3,3.057029617,validation
Random walk,0,,,1997Q4,1997Q3,3.057029617,validation
ARIMA,3.531213869,-3.33392172,10.39634946,1998Q1,1997Q4,3.760950314,validation
VAR,3.868973343,-2.703812967,10.44175965,1998Q1,1997Q4,3.760950314,validation
VECM,3.868973343,-2.639477457,10.37742414,1998Q1,1997Q4,3.760950314,validation
Historical mean,3.371341137,,,1998Q1,1997Q4,3.760950314,validation
Random walk,0,,,1998Q1,1997Q4,3.760950314,validation
ARIMA,3.429991017,-3.413192497,10.27317453,1998Q2,1998Q1,3.580803649,validation
VAR,3.562989595,-2.988162348,10.11414154,1998Q2,1998Q1,3.580803649,validation
VECM,3.562989595,-2.924454332,10.05043352,1998Q2,1998Q1,3.580803649,validation
Historical mean,3.373838632,,,1998Q2,1998Q1,3.580803649,validation
Random walk,0,,,1998Q2,1998Q1,3.580803649,validation
ARIMA,3.485582972,-3.335810083,10.30697603,1998Q3,1998Q2,5.243346746,validation
VAR,5.031281841,-1.498426617,11.5609903,1998Q3,1998Q2,5.243346746,validation
VECM,5.031281841,-1.435336167,11.49789985,1998Q3,1998Q2,5.243346746,validation
Historical mean,3.37515688,,,1998Q3,1998Q2,5.243346746,validation
Random walk,0,,,1998Q3,1998Q2,5.243346746,validation
ARIMA,3.844945654,-2.96031157,10.65020288,1998Q4,1998Q3,6.864629748,validation
VAR,4.228264231,-2.280293824,10.73682229,1998Q4,1998Q3,6.864629748,validation
VECM,4.228264231,-2.217810221,10.67433868,1998Q4,1998Q3,6.864629748,validation
Historical mean,3.386980867,,,1998Q4,1998Q3,6.864629748,validation
Random walk,0,,,1998Q4,1998Q3,6.864629748,validation
ARIMA,4.461396789,-2.338481604,11.26127518,1999Q1,1998Q4,3.547518287,validation
VAR,4.664402956,-1.836271924,11.16507784,1999Q1,1998Q4,3.547518287,validation
VECM,4.664402956,-1.77426089,11.1030668,1999Q1,1998Q4,3.547518287,validation
Historical mean,3.408852872,,,1999Q1,1998Q4,3.547518287,validation
Random walk,0,,,1999Q1,1998Q4,3.547518287,validation
ARIMA,3.919260821,-2.860819236,10.69934088,1999Q2,1999Q1,3.114664075,validation
VAR,3.557020046,-2.9251255,10.03916559,1999Q2,1999Q1,3.114664075,validation
VECM,3.557020046,-2.863681975,9.977722068,1999Q2,1999Q1,3.114664075,validation
Historical mean,3.409719531,,,1999Q2,1999Q1,3.114664075,validation
Random walk,0,,,1999Q2,1999Q1,3.114664075,validation
ARIMA,3.370874433,-3.389248769,10.13099764,1999Q3,1999Q2,5.054577443,validation
VAR,4.753825737,-1.708011177,11.21566265,1999Q3,1999Q2,5.054577443,validation
VECM,4.753825737,-1.647144794,11.15479627,1999Q3,1999Q2,5.054577443,validation
Historical mean,3.407886889,,,1999Q3,1999Q2,5.054577443,validation
Random walk,0,,,1999Q3,1999Q2,5.054577443,validation
ARIMA,3.761464219,-2.98272231,10.50565075,1999Q4,1999Q3,7.120770796,validation
VAR,3.986164256,-2.455359218,10.42768773,1999Q4,1999Q3,7.120770796,validation
VECM,3.986164256,-2.39506282,10.36739133,1999Q4,1999Q3,7.120770796,validation
Historical mean,3.418051645,,,1999Q4,1999Q3,7.120770796,validation
Random walk,0,,,1999Q4,1999Q3,7.120770796,validation
ARIMA,4.515636136,-2.227418681,11.25869095,2000Q1,1999Q4,1.04419014,test
VAR,4.427410513,-2.012142714,10.86696374,2000Q1,1999Q4,1.04419014,test
VECM,4.427410513,-1.952238591,10.80705962,2000Q1,1999Q4,1.04419014,test
Historical mean,3.440767713,,,2000Q1,1999Q4,1.04419014,test
Random walk,0,,,2000Q1,1999Q4,1.04419014,test
ARIMA,3.386573343,-3.356664177,10.12981086,2000Q2,2000Q1,7.72743425,test
VAR,4.666707986,-1.773791176,11.10720715,2000Q2,2000Q1,7.72743425,test
VECM,4.666707986,-1.714247533,11.0476635,2000Q2,2000Q1,7.72743425,test
Historical mean,3.426154436,,,2000Q2,2000Q1,7.72743425,test
Random walk,0,,,2000Q2,2000Q1,7.72743425,test
ARIMA,4.052254219,-2.702424338,10.80693278,2000Q3,2000Q2,0.3342934001,test
VAR,3.390218076,-3.047187698,9.827623849,2000Q3,2000Q2,0.3342934001,test
VECM,3.390218076,-2.988037233,9.768473384,2000Q3,2000Q2,0.3342934001,test
Historical mean,3.452222798,,,2000Q3,2000Q2,0.3342934001,test
Random walk,0,,,2000Q3,2000Q2,0.3342934001,test
ARIMA,3.434833611,-3.32267901,10.19234623,2000Q4,2000Q3,2.360002866,test
VAR,3.645656208,-2.788738116,10.08005053,2000Q4,2000Q3,2.360002866,test
VECM,3.645656208,-2.729975293,10.02128771,2000Q4,2000Q3,2.360002866,test
Historical mean,3.433440091,,,2000Q4,2000Q3,2.360002866,test
Random walk,0,,,2000Q4,2000Q3,2.360002866,test
ARIMA,2.763622361,-3.97555719,9.502801912,2001Q1,2000Q4,-1.321085352,test
VAR,3.36875675,-3.048860513,9.786374013,2001Q1,2000Q4,-1.321085352,test
VECM,3.36875675,-2.990605596,9.728119096,2001Q1,2000Q4,-1.321085352,test
Historical mean,3.427012323,,,2001Q1,2000Q4,-1.321085352,test
Random walk,0,,,2001Q1,2000Q4,-1.321085352,test
ARIMA,2.257337965,-4.489690179,9.004366109,2001Q2,2001Q1,2.614395081,test
VAR,2.399457506,-4.038428908,8.837343921,2001Q2,2001Q1,2.614395081,test
VECM,2.399457506,-3.980341527,8.77925654,2001Q2,2001Q1,2.614395081,test
Historical mean,3.398749837,,,2001Q2,2001Q1,2.614395081,test
Random walk,0,,,2001Q2,2001Q1,2.614395081,test
ARIMA,2.527920477,-4.199339773,9.255180726,2001Q3,2001Q2,-1.098166424,test
VAR,2.25712341,-4.161307022,8.675553843,2001Q3,2001Q2,-1.098166424,test
VECM,2.25712341,-4.103741461,8.617988281,2001Q3,2001Q2,-1.098166424,test
Historical mean,3.394108685,,,2001Q3,2001Q2,-1.098166424,test
Random walk,0,,,2001Q3,2001Q2,-1.098166424,test
ARIMA,2.324202494,-4.404904388,9.053309376,2001Q4,2001Q3,1.410305761,test
VAR,2.461601862,-3.957592325,8.880796049,2001Q4,2001Q3,1.410305761,test
VECM,2.461601862,-3.900362111,8.823565836,2001Q4,2001Q3,1.410305761,test
Historical mean,3.367683537,,,2001Q4,2001Q3,1.410305761,test
Random walk,0,,,2001Q4,2001Q3,1.410305761,test
ARIMA,2.246598108,-4.464162595,8.957358811,2002Q1,2001Q4,3.420793168,test
VAR,4.792101521,-1.60980032,11.19400336,2002Q1,2001Q4,3.420793168,test
VECM,4.792101521,-1.553061519,11.13726456,2002Q1,2001Q4,3.420793168,test
Historical mean,3.356236883,,,2002Q1,2001Q4,3.420793168,test
Random walk,0,,,2002Q1,2001Q4,3.420793168,test
ARIMA,3.075035769,-3.618493439,9.768564976,2002Q2,2002Q1,2.116804101,test
VAR,2.13249059,-4.253617586,8.518598766,2002Q2,2002Q1,2.116804101,test
VECM,2.13249059,-4.197351219,8.462332399,2002Q2,2002Q1,2.116804101,test
Historical mean,3.35661221,,,2002Q2,2002Q1,2.116804101,test
Random walk,0,,,2002Q2,2002Q1,2.116804101,test
ARIMA,3.11187504,-3.563784969,9.787535049,2002Q3,2002Q2,1.993849005,test
VAR,2.509677703,-3.857509064,8.876864469,2002Q3,2002Q2,1.993849005,test
VECM,2.509677703,-3.80173701,8.821092415,2002Q3,2002Q2,1.993849005,test
Historical mean,3.34944569,,,2002Q3,2002Q2,1.993849005,test
Random walk,0,,,2002Q3,2002Q2,1.993849005,test
ARIMA,2.87453338,-3.783971308,9.533038069,2002Q4,2002Q3,0.08256861541,test
VAR,2.867000459,-3.481901634,9.215902552,2002Q4,2002Q3,0.08256861541,test
VECM,2.867000459,-3.426612609,9.160613527,2002Q4,2002Q3,0.08256861541,test
Historical mean,3.341654904,,,2002Q4,2002Q3,0.08256861541,test
Random walk,0,,,2002Q4,2002Q3,0.08256861541,test
ARIMA,2.434190816,-4.218015641,9.086397274,2003Q1,2002Q4,1.617407126,test
VAR,2.198706458,-4.145255423,8.54266834,2003Q1,2002Q4,1.617407126,test
VECM,2.198706458,-4.090328313,8.48774123,2003Q1,2002Q4,1.617407126,test
Historical mean,3.323031554,,,2003Q1,2002Q4,1.617407126,test
Random walk,0,,,2003Q1,2002Q4,1.617407126,test
ARIMA,2.447702471,-4.186648831,9.082053773,2003Q2,2003Q1,3.177742153,test
VAR,2.506856338,-3.819226987,8.832939664,2003Q2,2003Q1,3.177742153,test
VECM,2.506856338,-3.764769016,8.778481692,2003Q2,2003Q1,3.177742153,test
Historical mean,3.313340506,,,2003Q2,2003Q1,3.177742153,test
Random walk,0,,,2003Q2,2003Q1,3.177742153,test
ARIMA,3.02619349,-3.590271122,9.642658102,2003Q3,2003Q2,6.64891923,test
VAR,3.360933956,-2.947625631,9.669493544,2003Q3,2003Q2,6.64891923,test
VECM,3.360933956,-2.893628407,9.61549632,2003Q3,2003Q2,6.64891923,test
Historical mean,3.312574413,,,2003Q3,2003Q2,6.64891923,test
Random walk,0,,,2003Q3,2003Q2,6.64891923,test
ARIMA,4.027011065,-2.592156198,10.64617833,2003Q4,2003Q3,3.581799071,test
VAR,4.296585144,-2.012654925,10.60582521,2003Q4,2003Q3,3.581799071,test
VECM,4.296585144,-1.958958288,10.55212857,2003Q4,2003Q3,3.581799071,test
Historical mean,3.331317924,,,2003Q4,2003Q3,3.581799071,test
Random walk,0,,,2003Q4,2003Q3,3.581799071,test
ARIMA,3.91093595,-2.690010966,10.51188287,2004Q1,2003Q4,2.806944284,test
VAR,2.564937002,-3.727132589,8.857006593,2004Q1,2003Q4,2.806944284,test
VECM,2.564937002,-3.673884216,8.80375822,2004Q1,2003Q4,2.806944284,test
Historical mean,3.33271726,,,2004Q1,2003Q4,2.806944284,test
Random walk,0,,,2004Q1,2003Q4,2.806944284,test
ARIMA,3.267000389,-3.317558054,9.851558831,2004Q2,2004Q1,2.832876173,test
VAR,3.433043571,-2.841226388,9.707313531,2004Q2,2004Q1,2.832876173,test
VECM,3.433043571,-2.788426543,9.654513686,2004Q2,2004Q1,2.832876173,test
Historical mean,3.329796299,,,2004Q2,2004Q1,2.832876173,test
Random walk,0,,,2004Q2,2004Q1,2.832876173,test
ARIMA,3.151775651,-3.414867459,9.718418762,2004Q3,2004Q2,2.92740926,test
VAR,2.554088548,-3.703053355,8.811230452,2004Q3,2004Q2,2.92740926,test
VECM,2.554088548,-3.650691415,8.758868511,2004Q3,2004Q2,2.92740926,test
Historical mean,3.327050884,,,2004Q3,2004Q2,2.92740926,test
Random walk,0,,,2004Q3,2004Q2,2.92740926,test
ARIMA,3.174467641,-3.374190554,9.723125837,2004Q4,2004Q3,3.455546265,test
VAR,3.224337181,-3.015443005,9.464117366,2004Q4,2004Q3,3.455546265,test
VECM,3.224337181,-2.963516053,9.412190415,2004Q4,2004Q3,3.455546265,test
Historical mean,3.324855051,,,2004Q4,2004Q3,3.455546265,test
Random walk,0,,,2004Q4,2004Q3,3.455546265,test
ARIMA,3.302155542,-3.228711498,9.833022583,2005Q1,2004Q4,3.971457869,test
VAR,3.837958217,-2.384459676,10.06037611,2005Q1,2004Q4,3.971457869,test
VECM,3.837958217,-2.332962918,10.00887935,2005Q1,2004Q4,3.971457869,test
Historical mean,3.32556921,,,2005Q1,2004Q4,3.971457869,test
Random walk,0,,,2005Q1,2004Q4,3.971457869,test
ARIMA,3.495534906,-3.018276863,10.00934667,2005Q2,2005Q1,1.701228535,test
